epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2360.02,1.65287,1.8908,1.88244,0.83461,0.80952,0.85699,0.50176,1.37556,1.21309,1.75894,0.008581,0.008581,0.008581
45,2413.54,1.65424,1.89473,1.87862,0.89104,0.77381,0.87604,0.50381,1.4524,1.20794,1.78008,0.008548,0.008548,0.008548
46,2466.76,1.65747,1.88389,1.87978,0.88351,0.78571,0.8736,0.53388,1.37557,1.25737,1.73365,0.008515,0.008515,0.008515
47,2520.38,1.65357,1.88987,1.88452,0.87425,0.82769,0.88493,0.5291,1.35376,1.26694,1.73924,0.008482,0.008482,0.008482
48,2573.85,1.65589,1.88049,1.87567,0.8855,0.80952,0.88959,0.51153,1.40033,1.22148,1.74957,0.008449,0.008449,0.008449
49,2627.23,1.65117,1.86965,1.877,0.87593,0.84049,0.88867,0.53133,1.33071,1.24073,1.68507,0.008416,0.008416,0.008416
50,2681,1.64714,1.85949,1.87313,0.91603,0.79762,0.88355,0.51096,1.40306,1.2827,1.7411,0.008383,0.008383,0.008383
51,2734.81,1.64576,1.87062,1.87006,0.89227,0.80952,0.88495,0.52761,1.34731,1.23919,1.69373,0.00835,0.00835,0.00835
52,2788.28,1.64474,1.85554,1.86304,0.9046,0.79024,0.88591,0.52053,1.36648,1.26144,1.7324,0.008317,0.008317,0.008317
53,2841.79,1.64747,1.86382,1.86966,0.91092,0.82143,0.89365,0.52396,1.40119,1.21935,1.72423,0.008284,0.008284,0.008284
54,2895.35,1.63708,1.84127,1.86485,0.9441,0.80422,0.8895,0.5211,1.38927,1.17473,1.74778,0.008251,0.008251,0.008251
55,2948.92,1.63638,1.8446,1.86357,0.90772,0.81974,0.89774,0.51247,1.40296,1.15786,1.75208,0.008218,0.008218,0.008218
56,3002.61,1.63695,1.83334,1.857,0.90892,0.83333,0.89025,0.52953,1.36951,1.20063,1.72298,0.008185,0.008185,0.008185
57,3055.84,1.63618,1.84122,1.85613,0.89437,0.82143,0.88693,0.53035,1.37771,1.17573,1.75973,0.008152,0.008152,0.008152
58,3109.1,1.63592,1.83861,1.85572,0.92616,0.82143,0.89136,0.52485,1.37589,1.16853,1.74497,0.008119,0.008119,0.008119
59,3162.64,1.62844,1.82695,1.85256,0.93042,0.79592,0.89335,0.52543,1.37918,1.17748,1.72279,0.008086,0.008086,0.008086
60,3216.38,1.62437,1.82793,1.84736,0.85458,0.84524,0.88385,0.53534,1.34747,1.12057,1.70869,0.008053,0.008053,0.008053
61,3269.9,1.63048,1.81721,1.84841,0.87315,0.81947,0.89401,0.53399,1.36615,1.14737,1.72586,0.00802,0.00802,0.00802
62,3323.11,1.62688,1.80489,1.84843,0.89809,0.83934,0.89488,0.53036,1.38043,1.12049,1.73099,0.007987,0.007987,0.007987
63,3376.37,1.61931,1.80976,1.84306,0.90681,0.81093,0.89453,0.53608,1.37277,1.12049,1.72386,0.007954,0.007954,0.007954
64,3429.84,1.61515,1.81224,1.84645,0.89738,0.83281,0.9061,0.55553,1.35601,1.09443,1.71208,0.007921,0.007921,0.007921
65,3483.27,1.61937,1.81109,1.84411,0.90952,0.80952,0.9029,0.5413,1.34694,1.10043,1.68963,0.007888,0.007888,0.007888
66,3536.67,1.60958,1.80293,1.83078,0.92341,0.80952,0.89578,0.52986,1.36074,1.1064,1.69359,0.007855,0.007855,0.007855
67,3590.09,1.61096,1.80294,1.83315,0.89313,0.83333,0.89766,0.53649,1.38559,1.09063,1.72069,0.007822,0.007822,0.007822
68,3643.16,1.62119,1.80079,1.83403,0.93235,0.82034,0.89844,0.54109,1.37671,1.11361,1.71924,0.007789,0.007789,0.007789
69,3696.65,1.61049,1.78407,1.82666,0.92373,0.83333,0.90405,0.54611,1.35908,1.09139,1.70551,0.007756,0.007756,0.007756
70,3750.55,1.60969,1.79064,1.82879,0.93419,0.84491,0.91163,0.53218,1.36797,1.09317,1.69923,0.007723,0.007723,0.007723
