                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2538,                 2.3679,                 2.7937,                0.41215,                 0.4768,                0.39664,                0.17031,                  2.164,                 2.6963,                 2.8521,              0.0006932,              0.0006932,              0.0006932
                     35,                  2.314,                 2.4781,                 2.8622,                0.63295,                   0.34,                0.42368,                0.13318,                  2.325,                 2.8281,                 3.0052,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.3117,                 2.5368,                 2.8575,                0.57816,                   0.34,                0.37605,                0.12696,                 2.2359,                 2.8421,                 2.8604,               0.000614,               0.000614,               0.000614
                     37,                 2.1829,                 2.3192,                 2.7568,                0.56302,                    0.5,                0.42859,                0.17123,                 2.1862,                 2.5213,                 2.7895,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.1962,                 2.3432,                 2.7442,                0.49302,                   0.46,                0.44217,                0.15233,                 2.2563,                 2.5352,                 2.8598,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.2332,                 2.2975,                 2.7519,                0.58839,                   0.44,                0.47267,                0.17158,                 2.2272,                 2.5412,                 2.8511,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.2795,                  2.266,                 2.7511,                0.53783,                   0.42,                0.48745,                0.20302,                  2.163,                 2.3624,                 2.7754,              0.0004556,              0.0004556,              0.0004556
                     41,                   2.16,                 2.3179,                 2.7204,                0.45088,                0.55836,                0.43177,                0.16274,                 2.1134,                 2.3979,                  2.718,               0.000416,               0.000416,               0.000416
                     42,                 2.1724,                 2.2768,                 2.7234,                0.54673,                   0.38,                0.47971,                0.17872,                 2.0707,                 2.3991,                 2.6898,              0.0003764,              0.0003764,              0.0003764
                     43,                  2.096,                 2.2899,                 2.6973,                0.65735,                    0.4,                0.51835,                0.18955,                 2.1153,                 2.2756,                 2.7324,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.0777,                 2.1736,                 2.7207,                0.50619,                0.57412,                0.53505,                0.24404,                 2.0395,                 2.2573,                 2.6437,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.0976,                 2.1613,                 2.6894,                0.73069,                0.48853,                0.61629,                0.29729,                 1.9978,                 2.1157,                 2.5965,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.1174,                 2.1421,                 2.7171,                0.61897,                0.58487,                0.58543,                0.30358,                 1.8991,                 2.3546,                 2.5617,               0.000218,               0.000218,               0.000218
                     47,                 2.0655,                  2.082,                 2.6544,                0.55749,                   0.66,                0.60117,                 0.3172,                 1.9106,                  2.237,                 2.5824,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.0955,                 2.1832,                 2.7164,                0.61739,                0.58092,                0.63907,                 0.3189,                 1.9439,                 2.0011,                 2.6016,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.0395,                 2.0755,                 2.6519,                0.63605,                   0.58,                0.62474,                0.30161,                 1.9521,                 1.9801,                 2.6074,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.0046,                 2.0025,                 2.5796,                0.60496,                0.58196,                0.60446,                0.29831,                 1.9503,                 1.9989,                 2.6116,               5.96e-05,               5.96e-05,               5.96e-05
