                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4997,                 5.5154,                 4.3421,                      0,                      0,                      0,                      0,                 3.3799,                 5.9659,                 4.1589,                      0,                      0,                      0
                      2,                  3.309,                 5.6474,                 4.2651,                      0,                      0,                      0,                      0,                   3.38,                 5.9657,                  4.159,             9.5438e-07,             9.5438e-07,             9.5438e-07
                      3,                 3.1162,                 5.6412,                 4.2735,                      0,                      0,                      0,                      0,                 3.3801,                 5.9656,                 4.1591,             1.4375e-06,             1.4375e-06,             1.4375e-06
                      4,                 3.1708,                 5.5853,                 4.4137,                      0,                      0,                      0,                      0,                 3.3801,                 5.9655,                 4.1591,             1.4494e-06,             1.4494e-06,             1.4494e-06
                      5,                 3.4104,                  5.481,                 4.2884,                      0,                      0,                      0,                      0,                 3.3802,                 5.9654,                 4.1592,             9.9008e-07,             9.9008e-07,             9.9008e-07
