                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 15.576,                      0,                      0,                      0,                      0,                      0,                      0,                  8.643,                      0,                      0,                      0,                      0
                      2,                      0,                 15.741,                      0,                      0,                      0,                      0,                      0,                      0,                 8.6464,                      0,              1.604e-05,              1.604e-05,              1.604e-05
                      3,                      0,                 15.538,                      0,                      0,                      0,                      0,                      0,                      0,                 8.6499,                      0,              2.416e-05,              2.416e-05,              2.416e-05
                      4,                      0,                 15.342,                      0,                      0,                      0,                      0,                      0,                      0,                  8.652,                      0,              2.436e-05,              2.436e-05,              2.436e-05
                      5,                      0,                  15.32,                      0,                      0,                      0,                      0,                      0,                      0,                 8.6554,                      0,              1.664e-05,              1.664e-05,              1.664e-05
